,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
76,permanent rest,,,suicide note,,,suicide bag,,,dermatillomania,,,,,,what's the point of living,,,,,,not married,,,social anxiety,,,resentment,,,marital,,,bully,,,force I to touch,,,rough up,,,petulant,,,12 step,,,hallucinogen,,,spur of the moment,,,,,,,,,I be ugly,,,feel terrible,,,tension,,,unreality,,,craving release,,,violent,,,tense,,,spiral out,,,bleak,,,lack of motivation,,,,,,when he was alive,,,aimless,,,,,,cynical,,,comparison,,,narcolep,,,sleepless,,,referential thinking,,,lithium,,,get in a fight,,,starving,,,miscarriage,,,prison,,,no saving,,,lgbtq,,,inequality,,,occupation,,,do not want to go to the hospital,,,pump my stomach,,
77,rest in peace,,,take my own life,,,taking all the pills,,,dermotillomania,,,,,,when I die,,,,,,not popular,,,social avoidance,,,rivalry,,,marriage,,,bully,,,force sex,,,self-defense,,,pissed off,,,AA meeting,,,hangover,,,thoughtless,,,,,,,,,akward,,,forgive myself,,,terrified,,,worry,,,desperate,,,war,,,tense,,,stew in,,,bum out,,,lack of pleasure,,,,,,when she was alive,,,despair,,,,,,dead end,,,compulsive,,,no desire to do anything,,,slumber,,,risperidone,,,mania,,,harm myself,,,stopped eating,,,nausea,,,probation,,,panhandle,,,lithsexual,,,inequity,,,out of business,,,fear of judgment,,,quetiapine,,
78,sleep forever,,,taking all the pills,,,tall building,,,electrocute myself,,,,,,when I'm dead,,,,,,one friend,,,social distancing,,,self-centered,,,married,,,bully,,,grab I,,,shake me,,,predatory,,,AA meeting,,,hash,,,uncontrolle,,,,,,,,,be fuck up,,,fuck up,,,terrify,,,,,,do not know what to do,,,,,,tension,,,suicidal thinking,,,can not snap out of it,,,lethargy,,,,,,widow,,,despondent,,,,,,defeat,,,criticism,,,ready to drop,,,snooze,,,schizoaffective,,,manic,,,he be my person,,,thigh gap,,,obesity,,,pull over,,,poverty,,,male,,,ingroup,,,overwork,,,go rate be too high,,,safety check,,
79,stop live,,,thought about jumping off,,,tried OD,,,hair - pull,,,,,,when I'm gone,,,,,,outcast,,,social phobia,,,selfish,,,marry,,,call I fat,,,grab my,,,shot me,,,quarrel,,,Alcoholics Anonymous,,,heroin,,,unpredictable,,,,,,,,,break,,,guilt,,,terror,,,,,,encage,,,,,,tremor,,,think too much,,,cry,,,no desire,,,,,,abortion,,,directionless,,,,,,desolation,,,detail - orient,,,sap,,,snore,,,schizophrenia,,,mood swing,,,impulsive,,,thin,,,osteoporosis,,,sentence,,,safety net,,,man,,,insult me,,,overworked,,,have not be reffere yet,,,self-care,,
80,think about die,,,tried OD,,,tried to OD,,,harm myself,,,,,,when I'm not around,,,,,,outlier,,,social withdrawl,,,separation,,,mate,,,call I name,,,groom,,,shout,,,rage,,,DUI,,,heroine,,,urge,,,,,,,,,can not look at myself,,,indict,,,torment,,,,,,entrap,,,,,,tumultuous,,,thought flood,,,crummy,,,no enjoyment,,,,,,anguish,,,disconnect,,,,,,desperate,,,dissatisfaction,,,sleep,,,too tired,,,seroquel,,,pressure speech,,,impulsivity,,,throw up,,,pain,,,sentence,,,sentence,,,masculine,,,intersectionality,,,owner,,,long waitlist,,,self-help,,
81,tired of life,,,tried to OD,,,weapon,,,harm myself,,,,,,will be dead,,,,,,people are not caring,,,solitary,,,sex,,,mentor,,,call I ugly,,,grope I,,,shove,,,raging,,,DWI,,,hung over,,,visceral,,,,,,,,,contempt,,,liability,,,torture,,,,,,escape,,,,,,turmoil,,,torture I,,,cry,,,no enthusiasm,,,,,,bereavement,,,dispassion,,,,,,discourage,,,excellence,,,sleepy,,,trouble sleep,,,spy on I,,,promiscuous,,,intense anger,,,throwing up,,,panic attack,,,solitary confinement,,,shelter,,,men,,,intersexism,,,paid,,,medication do not work,,,sertraline,,
82,tired of live,,,want to end it,,,9 mm,,,hit my head,,,,,,wish I'd never been born,,,,,,peripheral,,,solitude,,,sexual abuse,,,mom,,,call I name,,,harassment,,,slam the door,,,resent,,,jager,,,in recovery,,,volatile,,,,,,,,,demoralize,,,make a mistake,,,trembling,,,,,,escape pain,,,,,,unease,,,try to figure out,,,cry,,,no interest,,,,,,bereave,,,do not care about life,,,,,,dismal,,,exhaustive,,,sluggish,,,wake up during the night,,,tangentiality,,,quetiapine,,,lack of identity,,,ugly,,,parkinson's,,,verdict,,,soup kitchen,,,men who have sex with men,,,intolerance,,,pay off,,,medication side effect,,,stimulant,,
83,want death,,,want to jump,,,od,,,hit myself,,,,,,won't matter if I die,,,,,,quarantine,,,wallflower,,,she's toxic,,,mother,,,defenseless,,,harrass,,,slammed me,,,resentment,,,a drink,,,inject,,,be not premeditate,,,,,,,,,deserve death,,,make a mistake,,,troubled,,,,,,exit,,,,,,uneasy,,,want my brain to shut off,,,darkness,,,no joy,,,,,,breakup,,,drift,,,,,,do not have faith,,,expect nothing less than,,,slumber,,,wake up early than usual,,,the government be come,,,race thought,,,lose my temper,,,underweight,,,period pain,,,warden,,,survival mode,,,monosexual,,,kike,,,paycheck,,,med be not help,,,stomach pumping,,
84,want it all to end,,,will be dead,,,anti freeze,,,hurt myself,,,,,,I could just die,,,,,,reclusive,,,want people to leave I alone,,,silent treatment,,,mother in law,,,embarrass I,,,he force I to,,,slap,,,restlessness,,,abstinence,,,intoxicant,,,,,,,,,,,,deserve to die,,,mess up,,,uncertainty,,,,,,flee,,,,,,unstable,,,worried,,,depress,,,no motivation,,,,,,brother die,,,emptiness,,,,,,do not know what to do,,,failure,,,snooz,,,wake up to pee,,,think block,,,rapid cycling,,,mood stabilizer,,,unhealthy weight,,,pneumonia,,,,,,transitional housing,,,msm (men who have sex with men),,,kyke,,,payment,,,med do not work,,,stress management,,
85,want to be dead,,,wreck my car,,,antifreeze,,,knife to my throat,,,,,,I deserve to die,,,,,,seclusion,,,want to be alone,,,single dad,,,my baby,,,everyone ignore I,,,human trafficking,,,slapped me,,,riled,,,alateen,,,intoxicated,,,,,,,,,,,,despise myself,,,mess up,,,unease,,,,,,have to escape,,,,,,wander,,,worry,,,depression,,,no pleasure,,,,,,bury,,,ennui,,,,,,do for,,,fear of failure,,,tired,,,yawn,,,think broadcast,,,reckless behavior,,,mood swing,,,very thin,,,rash,,,,,,unhouse,,,mtf (male to female),,,make america great again,,,pension,,,misdiagnose,,,support groups,,
86,want to be do with this,,,wreck my truck,,,asphyxiation,,,laceration,,,,,,I do not trust myself,,,,,,shy,,,wish to be alone,,,single mom,,,my ex,,,exclude,,,incest,,,smack,,,scream,,,alcohol,,,intoxication,,,,,,,,,,,,disappoint in myself,,,misbehavior,,,unnerved,,,,,,helpless,,,,,,wire,,,,,,desolate,,,no will,,,,,,can not believe he be go,,,existential angst,,,,,,doom,,,flawless,,,too tired,,,,,,voice call my name,,,recklessness,,,need for validation,,,vomit,,,sclerosis,,,,,,vagrant,,,multigender,,,male privilege,,,performance,,,misdiagnosis,,,talk to someone,,
87,want to die,,,write a will,,,balcony,,,mutilate my,,,,,,I hate my life,,,,,,single dad,,,withdraw,,,single parent,,,my kid,,,go to different school,,,mandatory reporting,,,spank,,,seething,,,alcoholic,,,juul,,,,,,,,,,,,disgrace,,,misstep,,,worried,,,,,,liberate,,,,,,work up,,,,,,despair,,,not excite,,,,,,cancer,,,existential crisis,,,,,,doom,,,full potential,,,weary,,,,,,voice in my head,,,restlessness,,,outburst,,,weight,,,seeing impaired,,,,,,welfare,,,neutrois,,,marginalization,,,poverty,,,my insurance do not cover,,,therapist,,
88,why be I still alive,,,I write a suicide note,,,benzodiazepine,,,nail - biting,,,,,,I should die,,,,,,single mom,,,,,,stonewall,,,my relative,,,harassment,,,molest,,,spit in my face,,,sensitive,,,bar,,,ketamine,,,,,,,,,,,,disgust with myself,,,my mistake,,,worry,,,,,,liberation,,,,,,worried,,,,,,dismal,,,not inspire,,,,,,cheat on I,,,existential dread,,,,,,expect the bad,,,hate make mistake,,,wipe out,,,,,,,,,risky behavior,,,personality disorder,,,weightlift,,,seizure,,,,,,,,,non binary,,,microaggression,,,price,,,my insurance will not cover,,,therapy,,
89,wish I could disappear,,,I will be dead,,,blade,,,overdose,,,,,,I will be die,,,,,,single parent,,,,,,they're toxic,,,neighbor,,,humiliate,,,molest I,,,stab,,,snappy,,,bartender,,,klonopin,,,,,,,,,,,,distraught,,,offense,,,xanax,,,,,,lockdown,,,,,,worry,,,,,,down and out,,,not interested,,,,,,coma,,,feel lose,,,,,,futile,,,high achiever,,,wear out,,,,,,,,,seroquel,,,rage,,,weightloss,,,sick,,,,,,,,,non-binary,,,migrant,,,productivity,,,no appointment available,,,to the ER,,
90,wish I be dead,,,I will die,,,bleach,,,pick at my skin,,,,,,I will be dead,,,,,,social isolation,,,,,,toxic relationship,,,nephew,,,insult,,,non - consensual,,,stabbing me,,,spiteful,,,beer,,,kratom,,,,,,,,,,,,embarrass,,,regret,,,Ativan,,,,,,lock in,,,,,,,,,,,,dysthymia,,,nothing feel good,,,,,,commit suicide,,,feel empty,,,,,,futureless,,,high standard,,,wear - out,,,,,,,,,stable mood,,,reckless driving,,,worry about weight,,,somatic,,,,,,,,,nonbinary,,,misandry,,,promotion,,,no one refer I to a,,,transcranial magnetic stimulation,,
91,wish I be never bear,,,od,,,bridge,,,pull my hair,,,,,,I will die,,,,,,solitary,,,,,,toxic relatioship,,,newborn,,,joke about I,,,not consensual,,,strangle,,,temperamental,,,bender,,,laced,,,,,,,,,,,,embarrassed,,,remorse,,,lexapro,,,,,,mental prison,,,,,,,,,,,,empty,,,nothing be fun,,,,,,condolence,,,fruitless,,,,,,give up,,,infallible,,,yawn,,,,,,,,,stop sleep,,,relationship fall apart,,,you're fat,,,somatization,,,,,,,,,omnisexual,,,misogynist,,,property,,,no one take I seriously,,,treated for,,
92,wish I be not alive,,,attempt,,,burn charcoal,,,punch myself,,,,,,I be die,,,,,,solitary confinement,,,,,,treated me bad,,,niece,,,leak nude,,,nude,,,strangled me,,,tense,,,beverage,,,lorazepam,,,,,,,,,,,,embarrassment,,,responsibility,,,OCD,,,,,,no escape,,,,,,,,,,,,ennui,,,nothing matter,,,,,,cope with the loss,,,futile,,,,,,gloom,,,judge,,,,,,,,,,,,talkative,,,risky sex,,,BMI,,,spinal cord injury,,,,,,,,,pangender,,,misogyny,,,psychological safety,,,no psych,,,visit the ER,,
93,wish I would not wake up,,,attempt suicide,,,burn my,,,scar,,,,,,I be in a crisis,,,,,,solitude,,,,,,treated me like garbage,,,nurture,,,leave I out,,,objectify,,,threat,,,testy,,,black out,,,lsd,,,,,,,,,,,,hate myself,,,responsible,,,PTSD,,,,,,no way out,,,,,,,,,,,,fatigue,,,numb,,,,,,cremation,,,hollow,,,,,,gloomy,,,mediocre,,,,,,,,,,,,talk too much,,,scare he will leave I,,,ED,,,sprain,,,,,,,,,pansexual,,,national origins,,,purchase,,,no therap,,,vitamins,,
94,wish it would all end,,,blow my brain out,,,car exhaust,,,scar,,,,,,I be not safe,,,,,,someone to talk to,,,,,,unfaithful,,,nurturing,,,make fun of I,,,penis,,,threatened me,,,the last straw,,,booze,,,marihuana,,,,,,,,,,,,humiliation,,,shame,,,valium,,,,,,on the edge,,,,,,,,,,,,feel blue,,,numbness,,,,,,cry,,,hopelessness,,,,,,goner,,,meticulous,,,,,,,,,,,,weight gain,,,self harm,,,I have not eat,,,stroke,,,,,,,,,poly,,,nativism,,,quota,,,no therapist in my area,,,yoga,,
95,would be well off dead,,,burn myself alive,,,car off a bridge,,,scratch at my,,,,,,I be on the ledge,,,,,,standoffish,,,,,,unsupportive,,,our baby,,,make fun of I,,,perpetrator,,,threw me,,,took offense,,,breathalyzer,,,marijuana,,,,,,,,,,,,inadequacy,,,sinful,,,xanax,,,,,,paralyze,,,,,,,,,,,,feel down,,,unemotional,,,,,,die,,,inconsequential,,,,,,helpless,,,mistake,,,,,,,,,,,,wellbutrin,,,self injury,,,I be a cow,,,syndrome,,,,,,,,,polyamorous,,,nazi,,,rent,,,put on drug,,,adderall,,
96,,,,buy a gun,,,carbon,,,scratch my,,,,,,I be sink,,,,,,third wheel,,,,,,verbal abuse,,,papa,,,mean boy,,,power imbalance,,,took out a gun,,,unfriendly,,,brewery,,,mdma,,,,,,,,,,,,incompetent,,,sorry,,,afraid,,,,,,powerless,,,,,,,,,,,,feel like shit,,,uninspired,,,,,,divorce,,,life do not make sense,,,,,,hopeless,,,never good enough,,,,,,,,,,,,,,,self - harm,,,I be fat,,,throwing up,,,,,,,,,polysexual,,,not inclusive,,,retire,,,side effect,,,Ativan,,
97,,,,buy a rope,,,carbon monoxide,,,scratch my,,,,,,beg to die,,,,,,turn to anyone,,,,,,we got into an argument,,,parent,,,mean girl,,,predator,,,used the belt,,,unkind,,,budweiser,,,medicat,,,,,,,,,,,,inept,,,taboo,,,agitation,,,,,,quagmire,,,,,,,,,,,,feel blue,,,uninterested,,,,,,eulogy,,,life have no meaning,,,,,,hopelessness,,,obsessive,,,,,,,,,,,,,,,split,,,I be heavy,,,thyroid,,,,,,,,,pronouns,,,oppression,,,retirement,,,social taboo,,,CBT,,
98,,,,car off a bridge,,,charcoal burn,,,scratch,,,,,,be save,,,,,,unmarried,,,,,,we're not compatible,,,partner,,,mean kid,,,rape,,,verbal abuse,,,violent,,,buzz,,,medication,,,,,,,,,,,,inferior,,,take the blame,,,agoraphobia,,,,,,quarantine,,,,,,,,,,,,feel down,,,uninvolved,,,,,,euthenasia,,,life be empty,,,,,,impossibility,,,obsessiveness,,,,,,,,,,,,,,,too angry,,,I be not eat,,,tingling,,,,,,,,,queer,,,othering,,,revenue,,,stigma,,,Celexa,,
99,,,,carbon monoxide,,,chemical,,,self harm,,,,,,body bag,,,,,,unpopular,,,,,,widow,,,peer,,,mean to I,,,revenge porn,,,violence,,,volatile,,,buzz,,,medicinal,,,,,,,,,,,,inferiority,,,transgression,,,alarm,,,,,,restrain,,,,,,,,,,,,feel low,,,unmotivated,,,,,,friend die,,,life be go nowhere,,,,,,incapable,,,optimal,,,,,,,,,,,,,,,unsafe sex,,,I be too fat,,,tourette's,,,,,,,,,queerplatonic,,,outgroup,,,rich,,,therapy can not,,,DBT,,
100,,,,commit suicide,,,cliff,,,self injury,,,,,,breaking point,,,,,,unwanted,,,,,,abandonment,,,protege,,,mock I,,,rough sex,,,violent,,,wrath,,,chardonnay,,,medicine,,,,,,,,,,,,lack of self - confidence,,,be wrong,,,angst,,,,,,run out of option,,,,,,,,,,,,gloom,,,unsatisfye,,,,,,funeral,,,life be insignificant,,,,,,inconsolable,,,overachiever,,,,,,,,,,,,,,,unstable relationship,,,anorexia,,,tumor,,,,,,,,,questioning,,,pansy,,,salary,,,therapy do not work,,,EMDR,,
101,,,,crash my car,,,cut,,,self - harm,,,,,,can not do this anymore,,,,,,wallflower,,,,,,abuse,,,protégé,,,mock,,,safe space,,,war,,,yell,,,cheer,,,meds,,,,,,,,,,,,mortify,,,wicked,,,anguish,,,,,,snare,,,,,,,,,,,,gloomy,,,why bother,,,,,,funerary,,,life be meaningless,,,,,,incurable,,,overthinke,,,,,,,,,,,,,,,unstable sense of self,,,anorexia nervosa,,,ulcer,,,,,,,,,sexual orientation,,,patriarchy,,,save enough money,,,therapy be expensive,,,I need help,,
102,,,,cut,,,cyanide,,,self - injurious,,,,,,can not live like this,,,,,,want someone to talk,,,,,,abuse I,,,relationship,,,mockery,,,sex offense,,,was beaten,,,a temper,,,chug,,,meth,,,,,,,,,,,,never amount to,,,wish I could take it back,,,anxiety,,,,,,stick,,,,,,,,,,,,grief,,,,,,,,,grief,,,life be pointless,,,,,,irredeemable,,,people pleaser,,,,,,,,,,,,,,,,,,anorexic,,,vertigo,,,,,,,,,sexual preferences,,,preconception,,,save money,,,therapy be too expensive,,,lexapro,,
103,,,,cut my wrist,,,drink myself to death,,,self - injury,,,,,,can not take any more of this,,,,,,want to hang out,,,,,,abusive,,,romance,,,move school,,,sex slave,,,weapon,,,acrimonious,,,cider,,,methadone,,,,,,,,,,,,no honor,,,wrongdoe,,,anxious,,,,,,suffocate,,,,,,,,,,,,grim,,,,,,,,,grieve,,,life be purposeless,,,,,,irreparable,,,perfect,,,,,,,,,,,,,,,,,,eat a lot of food,,,virus,,,,,,,,,sexuality,,,prejudice,,,savings,,,therapy will not help,,,maoi,,
104,,,,drink myself to death,,,drink pesticide,,,shoot myself,,,,,,crisis center,,,,,,want to love,,,,,,acquaintance,,,romantic,,,name call,,,sex trafficking,,,whip,,,aggressive,,,ciroc,,,methylphenidate,,,,,,,,,,,,not confident,,,,,,apprehension,,,,,,suffocate,,,,,,,,,,,,heartache,,,,,,,,,he die,,,life be shit,,,,,,irreversible,,,perfection,,,,,,,,,,,,,,,,,,eat so much,,,vomiting,,,,,,,,,shemale,,,prejudiced,,,severance,,,they judge you,,,PCP,,
105,,,,drive my car into,,,drive my car into,,,skin pick,,,,,,crisis hotline,,,,,,widow,,,,,,adultery,,,roomate,,,no one like I,,,sexual assault,,,wound,,,agitate,,,cirrhosis,,,molly,,,,,,,,,,,,not deserve of life,,,,,,apprehensive,,,,,,there be no escape,,,,,,,,,,,,helpless,,,,,,,,,he be dead,,,life be void,,,,,,it will not work,,,perfectionism,,,,,,,,,,,,,,,,,,binge,,,AIDS,,,,,,,,,skoliosexual,,,profiling,,,taxes,,,treatment - resistant,,,Prozac,,
106,,,,drown myself,,,drown,,,skin - pick,,,,,,crisis text line,,,,,,I be alone,,,,,,alienation,,,roommate,,,ostracize,,,sexual exploitation,,,wrestle,,,agitation,,,cocktail,,,morphine,,,,,,,,,,,,not good enough,,,,,,at my wit end,,,,,,there be no exit,,,,,,,,,,,,knock down,,,,,,,,,he be kill,,,meaningless,,,,,,it will never change,,,performance anxiety,,,,,,,,,,,,,,,,,,binge eat,,,copd,,,,,,,,,third gender,,,proud boy,,,teamwork,,,be force to go to the hospital,,,Ritalin,,
107,,,,drown,,,electrocute myself,,,slice my wrist,,,,,,do not know how much long I can,,,,,,I do not belong,,,,,,attachment,,,sibling,,,pick on I,,,sexual harassment,,,yell,,,anger,,,cold turkey,,,mushrooms,,,,,,,,,,,,pathetic,,,,,,bad news,,,,,,to be free,,,,,,,,,,,,lay in bed,,,,,,,,,he be murder,,,meaningless existence,,,,,,it will never get well,,,procrastination,,,,,,,,,,,,,,,,,,binge,,,down syndrome,,,,,,,,,threesome,,,queerphobia,,,tenant,,,be hospitalize,,,snri,,
108,,,,easy and painless,,,firearm,,,slit my wrist,,,,,,do not want to be here,,,,,,I miss my brother,,,,,,betrayal,,,significant other,,,pick on,,,sexual violence,,,abuse,,,angry,,,cordial,,,na meeting,,,,,,,,,,,,regret,,,,,,benzo,,,,,,to break free,,,,,,,,,,,,low mood,,,,,,,,,heartache,,,needless,,,,,,it be a lost cause,,,punctual,,,,,,,,,,,,,,,,,,bloat,,,HIV,,,,,,,,,tomboy,,,race,,,toxic environment,,,,,,ssri,,
109,,,,electrocute myself,,,gas inhalation,,,slit my wrist,,,,,,do not want to do this anymore,,,,,,I miss my family,,,,,,blackmail,,,sister,,,post mean comment about I,,,slut,,,abusive,,,animosity,,,detox,,,naltrexone,,,,,,,,,,,,remorse,,,,,,butterfly,,,,,,trap,,,,,,,,,,,,melancholic,,,,,,,,,heartbreak,,,nihilist,,,,,,it be all over,,,relentless,,,,,,,,,,,,,,,,,,body image,,,I be on my period,,,,,,,,,tomgirl,,,racial,,,trust fund,,,,,,seroquel,,
110,,,,end it all,,,gun,,,stab my self,,,,,,do with live,,,,,,I miss my friend,,,,,,block I,,,sister in law,,,post mean picture about I,,,stalk,,,affront,,,annoyance,,,drink a shot,,,narcotic,,,,,,,,,,,,self - disgust,,,,,,calm down,,,,,,want to escape,,,,,,,,,,,,melancholy,,,,,,,,,her pass,,,nihilistic,,,,,,it be impossible,,,rigid,,,,,,,,,,,,,,,,,,bulimia,,,TBI,,,,,,,,,tranny,,,racial bias,,,trustfund,,,,,,TMS,,
111,,,,end my own life,,,handgun,,,stab my self,,,,,,do with my life,,,,,,I miss my sister,,,,,,bond,,,son,,,post mean thing about I,,,stalk,,,against my will,,,annoying,,,drinker,,,needle,,,,,,,,,,,,self - doubt,,,,,,can not breathe,,,,,,want to get out,,,,,,,,,,,,miserable,,,,,,,,,his passing,,,no ambition,,,,,,it be over,,,rigorous,,,,,,,,,,,,,,,,,,chew and spit,,,able bodied,,,,,,,,,trans,,,racial discrimination,,,tuition,,,,,,valium,,
112,,,,exit plan,,,hang myself,,,stab myself,,,,,,do with this life,,,,,,I be bore,,,,,,boundary,,,son in law,,,post nude photo,,,statutory rape,,,aggression,,,antisocial,,,drink,,,nembutal,,,,,,,,,,,,self - hate,,,,,,can not relax,,,,,,want to leave,,,,,,,,,,,,misery,,,,,,,,,hospice,,,no aspiration,,,,,,it be too late,,,scrupulous,,,,,,,,,,,,,,,,,,diet,,,ableism,,,,,,,,,trans man,,,racial profiling,,,turnover,,,,,,xanax,,
113,,,,give away my possession,,,helium,,,stick and poke tattoo,,,,,,die,,,,,,alienation,,,,,,breakup,,,soulmate,,,psychological abuse,,,title ix,,,aggressive,,,argumentative,,,drunk,,,nicotine,,,,,,,,,,,,shame,,,,,,catastrophic thinking,,,,,,want to start again,,,,,,,,,,,,moody,,,,,,,,,infidelity,,,no direction,,,,,,it be useless,,,self - critical,,,,,,,,,,,,,,,,,,diet pill,,,acid reflux,,,,,,,,,trans woman,,,racialism,,,unemploy,,,,,,Zoloft,,
114,,,,hang myself,,,high place,,,stick a needle in my,,,,,,end it,,,,,,alone,,,,,,break up,,,spouse,,,push I around,,,take advantage of m,,,assault,,,attack,,,everclear,,,nitrite,,,,,,,,,,,,shy,,,,,,catastrophize,,,,,,,,,,,,,,,,,,morose,,,,,,,,,kill herself,,,no drive,,,,,,lose hope,,,slip up,,,,,,,,,,,,,,,,,,dieting,,,allergy,,,,,,,,,transfeminine,,,racism,,,unemployment,,,,,,acceptance commitment therapy,,
115,,,,hang myself,,,hydrogen,,,trichotillomania,,,,,,end my life,,,,,,aloof,,,,,,call I fat,,,stepbrother,,,ridicule,,,touch she,,,attack I,,,bad temper,,,fireball,,,oding,,,,,,,,,,,,something 's wrong with I,,,,,,cold sweat,,,,,,,,,,,,,,,,,,negative,,,,,,,,,kill himself,,,no meaning,,,,,,nihilistic,,,straight A 's,,,,,,,,,,,,,,,,,,do not eat,,,alzheimer 's,,,,,,,,,transgender,,,racist,,,wage,,,,,,acupuncture,,
116,,,,hit by a train,,,illicit drug,,,urge to cut,,,,,,eternal sleep,,,,,,be single,,,,,,call name,,,stepdaughter,,,shame I,,,touch I,,,bash my,,,belligerent,,,gin,,,opiate,,,,,,,,,,,,stammer,,,,,,concern,,,,,,,,,,,,,,,,,,not happy,,,,,,,,,lose she,,,no motivation,,,,,,no chance,,,straight as,,,,,,,,,,,,,,,,,,do not want to eat,,,anemia,,,,,,,,,transition,,,redneck,,,wages,,,,,,antidepressant,,
117,,,,hit by the train,,,inert gas,,,wound myself,,,,,,exit bag,,,,,,any friend,,,,,,cheat,,,stepfather,,,shun,,,touch I,,,batter,,,bitter,,,glass of,,,opioid,,,,,,,,,,,,stigma,,,,,,cowardly,,,,,,,,,,,,,,,,,,numb,,,,,,,,,lose he,,,no point,,,,,,no end to this,,,strive,,,,,,,,,,,,,,,,,,dysmorphia,,,arthritis,,,,,,,,,transitioning,,,refugee,,,wealth,,,,,,antipsychotic,,
118,,,,jump from the roof,,,jump into traffic,,,,,,,,,farewell,,,,,,be ignore I,,,,,,codependency,,,stepmother,,,silent treatment,,,unwanted sex,,,beat she,,,block she,,,hangover,,,overdos,,,,,,,,,,,,stutter,,,,,,diazepam,,,,,,,,,,,,,,,,,,pessimistic,,,,,,,,,loss of a child,,,no purpose,,,,,,no escape,,,succeed at everything,,,,,,,,,,,,,,,,,,eat a lot,,,asthma,,,,,,,,,transmasculine,,,scapegoating,,,welfare,,,,,,at the er,,
119,,,,jump in front of a train,,,jump off a bridge,,,,,,,,,fatal,,,,,,avoid talk,,,,,,codependent,,,stepsister,,,slander,,,vagina,,,beat I,,,block he,,,hard stuff,,,overdose,,,,,,,,,,,,unattractive,,,,,,distraught,,,,,,,,,,,,,,,,,,sad,,,,,,,,,loss of a friend,,,no reason to live,,,,,,no future,,,successful,,,,,,,,,,,,,,,,,,eat too much,,,bacteria,,,,,,,,,transness,,,sectarian,,,work,,,,,,behavioral health,,
